DEPT,AHT10,AHT20,AHT30,AHT60,AHT90,AHTCO60,AHTCO90,DPHZ,DSOZ,DT,GR,HAZI,HCAL,HDRA,HMIN,HMNO,HTEM,ITT,NPOR,PEFZ,RSOZ,RXOZ,SDEV,SP,SPHI,RHOZ,TOP
4647,7.9474,7.7832,7.8743,8.1251,8.2127,123.075,121.7627,0.0779,0.5004,98.7544,24.957,128.7225,5.518,-0.0056,4.1154,3.9625,88.6028,0,0.6244,4.3179,0.167,6.0978,3.297,0,0.2969,2.5215,NELCHINA
4646.5,7.9475,7.7832,7.8747,8.1248,8.2141,123.0797,121.742,0.085,0.4983,98.7544,24.957,128.7238,5.518,-0.0122,4.1155,3.9624,88.6028,0.0001,0.6244,4.4494,0.1669,6.0968,3.297,0.3125,0.2969,2.5097,NELCHINA
4646,7.9477,7.7831,7.875,8.1245,8.2156,123.0838,121.7204,0.099,0.4944,98.7544,24.957,128.7252,5.5294,-0.0229,4.1158,3.9625,88.6028,0.0001,0.6241,4.6198,0.1668,6.0968,3.297,0.6875,0.2969,2.4866,NELCHINA
4645.5,7.9477,7.7831,7.8753,8.1243,8.2171,123.0874,121.698,0.1127,0.4903,98.7544,24.957,128.7413,5.518,-0.0325,4.1162,3.9626,88.6028,0.0002,0.6244,4.8119,0.1669,6.0967,3.2976,1.3125,0.2969,2.464,NELCHINA
4645,7.9478,7.7831,7.8756,8.1242,8.2186,123.0886,121.6747,0.1324,0.4825,98.7544,24.957,128.7595,5.518,-0.0553,4.1142,3.9616,88.6028,0.0002,0.6244,5.0141,0.1669,6.0967,3.2979,0.5,0.2969,2.4315,NELCHINA
4644.5,7.9481,7.7835,7.8761,8.1241,8.2202,123.0906,121.6515,0.1484,0.4745,98.7544,24.957,128.7668,5.518,-0.0746,4.1157,3.9624,88.6028,0.0003,0.6244,5.2139,0.1669,6.097,3.2983,1.0625,0.2969,2.4051,NELCHINA
4644,7.9488,7.7845,7.8766,8.1238,8.2224,123.0957,121.6183,0.1621,0.4669,98.7544,24.957,128.7762,5.5409,-0.093,4.1172,3.9633,88.6028,0.0003,0.6238,5.4329,0.1667,6.0974,3.2992,0.3125,0.2969,2.3825,NELCHINA
4643.5,7.95,7.7866,7.877,8.1234,8.2245,123.1006,121.5879,0.1628,0.463,98.7544,24.957,128.7896,5.518,-0.0904,4.1172,3.9634,88.6028,0.0004,0.6244,5.6778,0.1668,6.0979,3.3003,-0.3125,0.2969,2.3813,NELCHINA
4643,7.9526,7.7906,7.8776,8.1236,8.2271,123.0981,121.55,0.1622,0.4562,98.7544,24.957,128.8051,5.518,-0.0847,4.116,3.9631,88.6028,0.0004,0.6244,5.9448,0.1668,6.0982,3.3025,-0.3125,0.2969,2.3823,NELCHINA
4642.5,7.958,7.7974,7.8778,8.1232,8.2283,123.104,121.5311,0.1601,0.447,98.7544,24.957,128.8202,5.518,-0.077,4.1157,3.9628,88.6028,0.0005,0.6244,6.2086,0.1669,6.098,3.3027,-0.375,0.2969,2.3858,NELCHINA
4642,7.9684,7.8075,7.8778,8.1221,8.2292,123.1215,121.519,0.1595,0.4377,98.7544,24.957,128.8277,5.518,-0.071,4.1153,3.9625,88.6028,0.0005,0.6244,6.4443,0.1669,6.0979,3.3028,0.25,0.2969,2.3869,NELCHINA
4641.5,7.9872,7.8202,7.8778,8.1204,8.2319,123.1463,121.4782,0.1601,0.4322,98.7544,24.957,128.8267,5.518,-0.0707,4.1163,3.963,88.6028,0.0006,0.5812,6.6401,0.1668,6.0976,3.3017,0.1875,0.2969,2.3859,NELCHINA
4641,8.0141,7.8326,7.8797,8.1285,8.2373,123.0244,121.3993,0.1686,0.4256,98.7544,24.957,128.8297,5.518,-0.0743,4.1178,3.9638,88.6028,0.0006,0.5531,6.8165,0.1667,6.0985,3.3031,0.5,0.2969,2.3718,NELCHINA
4640.5,8.045,7.8406,7.8813,8.137,8.2443,122.8949,121.2961,0.1713,0.4188,98.7544,24.957,128.8307,5.5294,-0.0768,4.1175,3.9641,88.6028,0.0007,0.5629,6.9976,0.1668,6.0981,3.3051,0.625,0.2969,2.3674,NELCHINA
4640,8.0709,7.8394,7.8831,8.1505,8.2493,122.6916,121.2231,0.1702,0.4116,98.7544,24.957,128.8056,5.518,-0.0724,4.1162,3.963,88.6028,0.0007,0.4928,7.1832,0.1669,6.0981,3.3021,0.5,0.2969,2.3692,NELCHINA
4639.5,8.0843,7.8323,7.8826,8.1545,8.2506,122.6319,121.203,0.1667,0.4095,98.7544,24.957,128.7574,5.495,-0.0704,4.1164,3.9631,88.6028,0.0008,0.4668,7.3445,0.1669,6.0969,3.3039,0.625,0.2969,2.375,NELCHINA
4639,8.084,7.821,7.8859,8.166,8.2621,122.459,121.0341,0.1664,0.4084,98.7544,24.957,128.7178,5.5294,-0.0672,4.1167,3.9629,88.6028,0.0008,0.451,7.4641,0.1667,6.0966,3.3066,1.3125,0.2969,2.3755,NELCHINA
4638.5,8.0704,7.8064,7.8838,8.1636,8.2582,122.4944,121.0914,0.1684,0.4073,98.7544,24.957,128.6987,5.5134,-0.0667,4.117,3.9629,88.6028,0.0009,0.4295,7.5537,0.1667,6.0963,3.3039,2.9375,0.2969,2.3722,NELCHINA
4638,8.0424,7.7863,7.8858,8.155,8.2584,122.6235,121.0887,0.1687,0.4022,98.7544,24.957,128.6551,5.5225,-0.0634,4.1169,3.9631,88.6028,0.0009,0.4258,7.6547,0.1667,6.0969,3.3062,2.3125,0.2969,2.3717,NELCHINA
4637.5,8.0203,7.7797,7.8886,8.1523,8.2786,122.6655,120.7926,0.168,0.3977,98.7544,24.957,128.6085,5.518,-0.0614,4.1174,3.9636,88.6028,0.001,0.4129,7.7705,0.1668,6.0977,3.3056,2.9375,0.2969,2.3728,NELCHINA
4637,7.9962,7.7633,7.8773,8.1362,8.2644,122.9071,121.0005,0.1691,0.3951,98.7544,24.957,128.5478,5.518,-0.0589,4.1172,3.9637,88.6028,0.001,0.4269,7.9001,0.1668,6.0981,3.3068,3.3125,0.2969,2.3709,NELCHINA
4636.5,7.9887,7.7757,7.8802,8.1211,8.2748,123.1356,120.8482,0.1678,0.3969,98.7544,24.957,128.4528,5.518,-0.0543,4.117,3.9636,88.6028,0.0011,0.4282,8.0243,0.1669,6.0989,3.3081,3.75,0.2969,2.3732,NELCHINA
4636,7.9858,7.7802,7.8933,8.1266,8.3054,123.053,120.4034,0.1657,0.3981,98.7544,24.957,128.414,5.5332,-0.0491,4.1177,3.9644,88.6028,0.0011,0.4698,8.1417,0.1667,6.1001,3.3084,3.625,0.2969,2.3765,NELCHINA
4635.5,7.9978,7.7907,7.8984,8.1359,8.3268,122.9126,120.0947,0.1622,0.3882,98.7544,24.957,128.3501,5.5409,-0.0423,4.1216,3.9672,88.6028,0.0012,0.4655,8.2676,0.1666,6.104,3.3067,3.8125,0.2969,2.3823,NELCHINA
4635,8.0058,7.8114,7.903,8.1629,8.3346,122.5048,119.9822,0.1558,0.3426,98.7544,24.957,128.2836,5.5256,-0.0275,4.1261,3.9715,88.6028,0.0012,0.4442,8.4491,0.1661,6.11,3.306,4,0.2969,2.3929,NELCHINA
4634.5,8.0125,7.8287,7.9264,8.2164,8.3954,121.7084,119.1126,0.1366,0.2519,98.7544,31.83,128.2399,5.5409,0.0052,4.1359,3.979,88.6028,0.0013,0.4354,8.6275,0.1653,6.1185,3.3103,3.5,0.2969,2.4246,NELCHINA
4634,8.0093,7.8221,7.9322,8.2559,8.4147,121.1255,118.839,0.1301,0.1337,98.7544,36.7503,128.1511,5.5409,0.0371,4.1482,3.9878,88.6028,0.0013,0.4533,8.4151,0.1755,6.2609,3.3063,3.375,0.2969,2.4353,NELCHINA
4633.5,8.0055,7.8153,7.9187,8.2982,8.4381,120.5075,118.5107,0.1367,0.0637,98.7544,42.3375,128.0925,6.2051,0.0742,4.0613,4.2719,88.6029,0.0014,0.4339,7.5832,0.1762,7.4866,3.3123,3.6875,0.2969,2.4244,NELCHINA
4633,7.9992,7.8382,7.9473,8.3547,8.4956,119.6933,117.7078,0.1637,0.0912,98.7544,42.4329,128.0114,6.1937,0.1003,5.9165,5.9273,88.6028,0.0014,0.4558,6.629,0.1287,8.3304,3.317,3.8125,0.2969,2.3799,NELCHINA
4632.5,8.0257,7.8447,7.9602,8.3804,8.5468,119.3261,117.0026,0.2018,0.1685,98.7544,43.963,127.9546,6.2509,0.0833,6.2212,5.695,88.6028,0.0015,0.4171,5.9894,0.0981,8.9674,3.3165,5,0.2969,2.3169,NELCHINA
4632,8.0255,7.8616,7.9681,8.3647,8.5794,119.5507,116.5581,0.2169,0.2272,98.7544,44.5424,127.9376,6.3273,0.0633,5.4725,5.4149,88.6028,0.0015,0.4275,5.8028,0.0879,8.9803,3.312,3.8125,0.2969,2.292,NELCHINA
4631.5,8.0112,7.8327,7.9705,8.3133,8.5763,120.2888,116.5997,0.2086,0.2405,98.7544,42.0851,127.8726,6.3197,0.0423,7.5579,6.7971,88.6028,0.0016,0.4384,5.6262,0.0837,10.4493,3.3186,5.0625,0.2969,2.3057,NELCHINA
4631,7.9328,7.7964,7.9562,8.2443,8.5625,121.2961,116.7881,0.1741,0.2361,98.7544,43.2724,127.8483,6.2968,0.0736,8.6034,7.8225,88.6028,0.0016,0.4129,5.4222,0.0399,11.225,3.3218,4.75,0.2969,2.3628,NELCHINA
4630.5,7.8661,7.8305,7.9366,8.2218,8.463,121.6284,118.1616,0.1633,0.2115,98.7544,44.7434,127.8288,6.4113,0.089,7.4542,6.7062,88.6028,0.0017,0.4239,5.1651,0.0376,10.1343,3.3217,5.125,0.2969,2.3805,NELCHINA
4630,8.006,7.8649,8.0208,8.075,8.3608,123.8389,119.606,0.1579,0.186,98.7544,48.4608,127.7597,6.396,0.1079,6.6241,5.8707,88.6028,0.0017,0.4329,4.8078,0,9.1553,3.3276,5.375,0.2969,2.3894,NELCHINA
4629.5,8.0586,7.8295,7.9528,8.1337,8.3299,122.9459,120.0489,0.1464,0.1904,98.7544,47.4037,127.7466,6.3769,0.1181,7.5507,6.6697,88.6028,0.0018,0.4325,4.3814,0,10.0249,3.3243,4.5,0.2969,2.4085,NELCHINA
4629,7.8209,7.7161,7.8348,8.0213,8.1251,124.6679,123.0747,0.1262,0.2422,98.7544,44.5435,127.6367,6.4418,0.1279,9.2888,8.3424,88.6028,0.0018,0.4429,4.0934,0.0076,10.6188,3.33,4.8125,0.2969,2.4418,NELCHINA
4628.5,7.3555,7.4565,7.6014,7.7806,7.8254,128.5244,127.7892,0.1405,0.3065,98.7544,40.6409,127.6232,6.48,0.1119,6.657,6.0618,88.6028,0.0019,0.4362,4.0829,0.0306,9.1868,3.3302,4.5,0.2969,2.4182,NELCHINA
4628,7.0349,7.1506,7.2897,7.481,7.4989,133.6723,133.3534,0.1672,0.3451,98.7544,38.2357,127.6052,6.8121,0.0891,5.5187,4.9133,88.6028,0.0019,0.4372,4.2984,0.0177,7.3116,3.3341,3.6875,0.2969,2.374,NELCHINA
4627.5,6.801,6.9546,7.0256,7.2147,7.2281,138.6057,138.3499,0.1894,0.3544,98.7544,40.032,127.539,6.9496,0.0727,5.317,4.7007,88.9621,0.002,0.4491,4.6068,0,6.6923,3.3408,3.5,0.2969,2.3376,NELCHINA
4627,6.8334,6.9967,7.085,7.2948,7.3,137.0837,136.9867,0.1903,0.3201,98.7544,40.7847,127.5097,7.0603,0.0696,5.4454,4.8139,88.6028,0.002,0.419,4.8709,0,6.8351,3.3448,3,0.2969,2.3361,NELCHINA
4626.5,6.8008,7.0329,7.138,7.3445,7.3745,136.1569,135.6017,0.1793,0.2628,98.7544,44.3975,127.413,7.0756,0.0768,5.8423,5.1637,88.6028,0.0021,0.407,4.9532,0,6.8689,3.3452,3.375,0.2969,2.3542,NELCHINA
4626,6.6254,6.8491,6.9637,7.1945,7.2628,138.995,137.6884,0.1666,0.2285,98.7544,42.141,127.3223,6.9496,0.091,5.3635,4.7417,88.6028,0.0021,0.4148,4.7965,0,6.7487,3.3408,3.6875,0.2969,2.375,NELCHINA
4625.5,6.2652,6.5178,6.6451,6.8913,6.9839,145.1096,143.1875,0.1513,0.2454,98.7544,41.5736,127.2673,6.8923,0.107,5.0586,4.4729,88.9621,0.0022,0.4145,4.5848,0,6.1065,3.3463,4,0.2969,2.4003,NELCHINA
4625,6.2751,6.4907,6.615,6.8338,7.0404,146.3317,142.0369,0.1548,0.2979,98.7544,40.5199,127.2261,6.8923,0.1067,4.5183,3.9973,88.9621,0.0022,0.4116,4.5601,0,5.8097,3.337,4,0.2969,2.3946,NELCHINA
4624.5,6.3938,6.6889,6.8515,7.099,7.2531,140.8658,137.8719,0.1755,0.3151,98.7544,41.1306,127.1363,6.9992,0.0854,4.5598,4.0339,88.9621,0.0023,0.4136,4.7573,0,5.3905,3.3418,3.9375,0.2969,2.3605,NELCHINA
4624,6.5301,6.8181,7.04,7.2561,7.4164,137.8151,134.8367,0.1881,0.3021,98.7544,43.062,127.1042,7.1672,0.0676,4.3452,3.8449,88.9621,0.0023,0.4281,4.9997,0,6.3879,3.3486,4.3125,0.2969,2.3396,NELCHINA
4623.5,6.5903,6.8845,7.1306,7.4591,7.49,134.0642,133.5108,0.1978,0.2626,98.7544,38.8471,127.0625,7.1443,0.054,6.5909,5.9034,88.9621,0.0024,0.4392,5.0929,0.0111,6.8736,3.3492,4.5,0.2969,2.3236,NELCHINA
4623,7.091,7.4248,7.7367,8.0531,7.9842,124.1753,125.2474,0.1921,0.2374,98.7544,39.12,127.021,7.2283,0.0536,5.3067,4.7845,88.9621,0.0024,0.4099,5.0136,0.0321,7.4345,3.3465,5.3125,0.2969,2.333,NELCHINA
4622.5,8.0531,8.5735,8.8705,9.2729,9.0791,107.8414,110.1434,0.1902,0.2227,98.7544,38.6495,126.8825,7.1786,0.0517,5.0672,4.4805,88.9621,0.0025,0.417,4.811,0,6.8186,3.3486,5.1875,0.2969,2.3362,NELCHINA
4622,8.4981,8.812,9.0598,9.6164,9.2149,103.9892,108.5195,0.1788,0.2385,98.7544,41.4689,126.8142,7.1748,0.0538,6.0528,5.3493,88.9621,0.0025,0.4319,4.658,0,7.1173,3.3489,5.0625,0.2969,2.3549,NELCHINA
4621.5,8.2098,8.4618,8.8043,9.2446,8.8405,108.1715,113.1163,0.1787,0.2517,98.7544,41.497,126.7555,7.1825,0.0491,6.2234,5.4997,88.9621,0.0026,0.4149,4.6354,0,7.3709,3.3517,5.5625,0.2969,2.3551,NELCHINA
4621,7.912,8.4077,8.6105,8.9959,8.5577,111.1616,116.8542,0.1842,0.2594,98.7544,39.8982,126.6988,7.1748,0.0388,5.5029,4.8646,88.9621,0.0026,0.4015,4.7274,0,7.0934,3.3588,5.5625,0.2969,2.346,NELCHINA
4620.5,7.8997,8.2247,8.3729,8.8142,8.3266,113.4529,120.0966,0.18,0.2758,98.7544,41.9281,126.7334,7.0985,0.0205,5.3885,4.7637,88.9621,0.0027,0.3899,4.8947,0,6.6761,3.3562,5.4375,0.2969,2.3531,NELCHINA
4620,7.918,8.3221,8.4267,8.6637,8.2176,115.4246,121.6898,0.1689,0.2946,98.7544,42.9584,126.6353,7.0068,0.0119,5.2288,4.623,88.9621,0.0027,0.4036,5.1039,0,7.1683,3.3613,5.0625,0.2969,2.3712,NELCHINA
4619.5,8.0567,8.4458,8.4884,8.7689,8.3819,114.0399,119.3048,0.1563,0.2973,98.7544,44.8757,126.5412,7.0756,0.0011,6.8756,6.0747,88.9621,0.0028,0.3674,5.3115,0,7.7949,3.3631,3.6875,0.2969,2.3921,NELCHINA
4619,8.1689,8.5599,8.5813,8.8438,8.4729,113.074,118.0229,0.1354,0.2823,98.7544,41.7521,126.5221,7.045,0.0077,6.7989,6.0409,88.9621,0.0028,0.3634,5.4209,0.0061,8.3308,3.3596,3.9375,0.2969,2.4267,NELCHINA
4618.5,8.2252,8.8098,8.7331,8.9265,8.677,112.0262,115.2474,0.1186,0.2664,98.7544,40.6936,126.4928,6.8236,0.0105,5.9303,5.2414,88.9621,0.0029,0.3749,5.4049,0.0119,8.7324,3.3654,4.125,0.2969,2.4543,NELCHINA
4618,8.3318,8.9575,8.8915,8.9171,8.9174,112.1445,112.1406,0.1211,0.2395,98.7544,37.2128,126.449,6.8999,0.0116,7.4294,6.786,88.9621,0.0029,0.3662,5.3688,0.0468,9.3542,3.3704,5.375,0.2969,2.4503,NELCHINA
4617.5,8.1182,8.4295,8.3555,8.386,8.3715,119.2459,119.4533,0.1552,0.1961,98.7544,39.3555,126.4102,6.8236,0.0037,6.8534,6.6073,88.9621,0.003,0.383,5.3099,0.0486,10.3647,3.378,5.125,0.2969,2.3939,NELCHINA
4617,7.054,7.3699,7.2316,7.3474,7.3238,136.1018,136.542,0.189,0.1699,98.7544,40.1466,126.4736,6.6556,-0.0023,7.7192,6.8183,88.9621,0.003,0.3815,5.2276,0.0103,8.2312,3.3805,5.125,0.2969,2.3382,NELCHINA
4616.5,5.6922,5.7883,5.7308,5.8088,5.8472,172.1527,171.0207,0.2145,0.1751,98.7544,40.6065,126.3574,6.564,0.0006,4.3952,3.889,88.9621,0.0031,0.3947,5.0923,0,5.1546,3.3964,4.625,0.2969,2.2961,NELCHINA
4616,4.5016,4.6332,4.6138,4.7128,4.7453,212.1899,210.7332,0.2331,0.1777,98.7544,37.7379,126.3619,6.5487,0.0038,2.7947,2.4798,88.9621,0.0031,0.4363,4.8925,0,4.105,3.3942,5.5,0.2969,2.2653,NELCHINA
4615.5,4.4637,4.5369,4.4695,4.6584,4.7377,214.6669,211.0717,0.2418,0.1662,98.7544,39.43,126.3594,6.4266,0.0036,3.1277,2.773,88.9621,0.0032,0.3979,4.5824,0,3.7264,3.398,5.8125,0.2969,2.251,NELCHINA
4615,4.7226,4.8587,4.7704,4.9392,5.0753,202.4606,197.032,0.2343,0.1641,98.7544,46.052,126.2734,6.3731,0.0007,3.329,2.9503,88.9621,0.0032,0.3348,4.223,0,4.3803,3.4091,5.1875,0.2969,2.2634,NELCHINA
4614.5,4.8387,4.9911,4.883,5.0166,5.1758,199.3374,193.2073,0.2191,0.1876,98.7544,51.9828,126.2406,6.3197,-0.0014,4.2028,3.7196,88.9621,0.0033,0.3309,3.9721,0,4.9864,3.4179,4.5,0.2969,2.2885,NELCHINA
4614,4.662,4.8651,4.8374,4.9979,5.1283,200.0857,194.995,0.2117,0.2155,98.7544,53.859,126.2728,6.2968,0.0011,4.5134,3.993,88.9621,0.0033,0.3628,3.9417,0,5.0287,3.4194,4.125,0.2969,2.3007,NELCHINA
4613.5,4.5409,4.7807,4.8246,4.9848,5.1161,200.6084,195.4629,0.2143,0.214,98.7544,49.9317,126.3444,6.3044,0.0006,3.6775,3.2571,88.9621,0.0034,0.3823,3.9609,0,4.9453,3.4226,3.75,0.2969,2.2964,NELCHINA
4613,4.8418,4.9447,4.9278,5.042,5.2202,198.3356,191.5617,0.2071,0.1928,98.7544,48.0554,126.3159,6.3197,0.0003,4.0508,3.5858,88.9621,0.0034,0.359,4.0496,0,4.7628,3.4246,3.8125,0.2969,2.3084,NELCHINA
4612.5,4.8576,4.9224,4.9526,5.1131,5.2658,195.5757,189.9038,0.1964,0.1882,98.7544,46.0043,126.2661,6.312,-0.0035,4.285,3.7919,88.9621,0.0035,0.3724,4.2607,0,5.1287,3.4326,3.5,0.2969,2.326,NELCHINA
4612,4.4621,4.5367,4.623,4.7802,4.8373,209.1946,206.7256,0.1953,0.2191,98.7544,47.2828,126.2333,6.3884,-0.011,3.6854,3.2641,88.9621,0.0035,0.4056,4.6887,0,4.3627,3.4374,4.4375,0.2969,2.3278,NELCHINA
4611.5,4.3865,4.3985,4.5094,4.7063,4.7011,212.4808,212.7139,0.2121,0.2367,98.7544,47.1725,126.306,6.3884,-0.0218,2.7313,2.4239,88.9621,0.0036,0.4252,5.0895,0,4.1535,3.4389,4.375,0.2969,2.3001,NELCHINA
4611,5.0818,5.1097,5.2046,5.5488,5.485,180.2201,182.3166,0.2154,0.2179,98.7544,49.6639,126.3594,6.3884,-0.0246,3.7344,3.3072,88.9621,0.0036,0.4017,5.1404,0,4.4731,3.4411,4.5,0.2969,2.2946,NELCHINA
4610.5,6.0991,6.0921,6.2206,6.3751,6.2337,156.8602,160.4184,0.1942,0.1583,98.7544,49.2224,126.2947,6.3884,-0.0165,5.3313,4.7133,88.9621,0.0037,0.3471,4.9033,0,6.1904,3.4507,4.6875,0.2969,2.3296,NELCHINA
4610,6.7755,6.7191,6.9084,6.9906,6.818,143.0489,146.6695,0.1677,0.0867,98.7544,49.7743,126.3072,6.3807,-0.0058,5.8543,5.1744,88.9621,0.0037,0.3352,4.6739,0,7.0003,3.4539,4.875,0.2969,2.3733,NELCHINA
4609.5,7.1393,7.0489,7.1639,7.1594,6.7792,139.6774,147.51,0.1495,0.0486,98.7544,44.1467,126.3534,6.4113,-0.0021,6.3431,5.6053,88.9621,0.0038,0.3215,4.7038,0,7.9171,3.4586,5.0625,0.2969,2.4033,NELCHINA
4609,7.5587,7.4384,7.5179,7.4073,6.9002,135.0024,144.9227,0.1207,0.1121,98.7544,43.5099,126.3898,6.3731,0.0062,6.6284,5.8567,88.9621,0.0038,0.3407,4.9881,0,7.991,3.461,4.6875,0.2969,2.4509,NELCHINA
4608.5,7.9303,7.6697,7.6643,7.4729,6.9716,133.8172,143.4397,0.1049,0.2117,98.7544,38.7641,126.4025,6.3311,0.0088,6.6887,5.9099,88.9621,0.0039,0.3464,5.4635,0.0028,8.5706,3.4667,4.5,0.2969,2.4769,NELCHINA
4608,8.0167,7.8609,7.7866,7.519,7.0169,132.996,142.5141,0.1147,0.2749,98.7544,40.1989,126.4016,6.2968,0.0014,6.2338,5.9435,88.9621,0.0039,0.3287,5.9629,0.0403,8.8512,3.4605,4.8125,0.2969,2.4607,NELCHINA
4607.5,8.2708,8.1799,7.9999,7.8092,7.0801,128.0545,141.2411,0.1383,0.2426,98.7544,39.4811,126.4905,6.4113,-0.0078,6.3595,5.9265,88.9621,0.004,0.321,6.1907,0.0679,9.7312,3.4712,4.875,0.2969,2.4218,NELCHINA
4607,8.7726,8.6666,8.3889,7.9982,7.1021,125.0289,140.8026,0.1536,0.1972,98.7544,41.6885,126.4186,6.3502,-0.0119,7.9351,7.2829,88.9621,0.004,0.2959,5.9907,0.0441,11.4122,3.4766,5.75,0.2969,2.3965,NELCHINA
4606.5,8.8461,8.9745,8.5728,8.0411,7.2868,124.3612,137.2346,0.1435,0.1857,98.7544,39.0448,126.4465,6.3769,-0.0051,10.2722,9.5499,88.9621,0.004,0.2878,5.5327,0.032,14.2146,3.4806,4.875,0.2969,2.4132,NELCHINA
4606,8.2653,8.3571,7.9103,7.6481,7.2162,130.7511,138.5769,0.1452,0.2035,98.7544,38.9646,126.4666,6.3311,-0.0042,11.5272,10.2317,88.9621,0.0041,0.2941,5.1204,0.0449,10.5855,3.48,5.375,0.2969,2.4103,NELCHINA
4605.5,7.2698,7.5343,7.2082,6.9713,6.7028,143.445,149.1919,0.1498,0.233,98.7544,40.1764,126.6024,6.3502,-0.0027,5.6279,5.1481,88.9621,0.0041,0.3466,4.8655,0.036,8.7826,3.4872,3.125,0.2969,2.4028,NELCHINA
4605,6.905,7.1178,6.8326,6.7588,6.5475,147.9542,152.7311,0.1699,0.2391,98.7544,41.6248,126.4889,6.3578,-0.0046,5.7472,5.2004,88.9621,0.0042,0.371,4.796,0.0552,7.5737,3.4984,3,0.2969,2.3697,NELCHINA
4604.5,7.2678,7.4839,7.2171,7.119,7.0305,140.4692,142.2382,0.1874,0.2165,98.7544,43.1699,126.4888,6.3426,-0.0063,6.6192,5.9577,88.9621,0.0042,0.3894,4.8283,0.0215,8.7569,3.5012,4.375,0.2969,2.3408,NELCHINA
4604,7.5646,7.6788,7.5709,7.5924,7.5608,131.71,132.2604,0.1964,0.1857,98.7544,43.1629,126.6585,6.3655,-0.0068,7.4276,6.612,88.9621,0.0043,0.3763,4.8698,0.0245,8.8193,3.5014,4.3125,0.2969,2.3259,NELCHINA
4603.5,8.0205,7.8003,7.7698,7.8031,7.7915,128.1542,128.345,0.1943,0.1615,98.7544,45.032,126.664,6.3655,-0.0056,7.1395,6.3162,88.9621,0.0043,0.3796,4.8314,0.0215,9.0885,3.5048,4.1875,0.2969,2.3293,NELCHINA
4603,8.1875,7.9511,7.9351,7.9302,8.0051,126.1009,124.9211,0.1846,0.1776,98.7544,44.3882,126.6589,6.3578,-0.0042,6.3942,5.8237,88.9621,0.0044,0.3904,4.742,0.0308,8.2087,3.5134,3.5,0.2969,2.3454,NELCHINA
4602.5,8.3332,8.1435,8.2701,8.3766,8.4139,119.3805,118.8511,0.158,0.2522,98.7544,44.3974,126.6771,6.3502,0.0034,5.9395,5.3197,88.9621,0.0044,0.3636,4.7723,0.0096,7.9888,3.5171,4.4375,0.2969,2.3893,NELCHINA
4602,8.3704,8.3739,8.5355,8.8131,8.7288,113.4677,114.5631,0.1546,0.3311,98.7544,42.1204,126.7448,6.3807,-0.0021,6.154,5.4385,88.9621,0.0045,0.3653,5.0353,0,7.5594,3.5182,3.8125,0.2969,2.3949,NELCHINA
4601.5,8.4861,8.4514,8.5321,8.7653,8.5611,114.0861,116.8078,0.1615,0.3587,98.7544,41.9135,126.775,6.6174,-0.0085,5.86,5.1794,88.9621,0.0045,0.382,5.3982,0,7.5129,3.5179,3.375,0.2969,2.3835,NELCHINA
4601,8.3472,8.3078,8.3595,8.5626,8.3844,116.7868,119.2689,0.1772,0.3087,98.7544,42.2218,126.8183,6.6251,-0.0151,6.1064,5.3966,88.9621,0.0046,0.397,5.6002,0,7.5088,3.5231,3.5,0.2969,2.3577,NELCHINA
4600.5,8.1841,8.2366,8.2194,8.4923,8.207,117.754,121.8477,0.1548,0.2612,98.7544,42.6297,126.8539,6.5564,-0.0036,6.1885,5.469,88.9621,0.0046,0.3651,5.4814,0,7.9489,3.5271,4.4375,0.2969,2.3945,NELCHINA
4600,8.1438,8.2498,8.2126,8.3998,8.1866,119.0504,122.1514,0.1382,0.2393,98.7544,42.1125,126.8065,6.4647,0.006,7.0861,6.2602,88.9621,0.0047,0.3368,5.2381,0.0079,8.9755,3.5309,5.1875,0.2969,2.4219,NELCHINA
4599.5,8.1243,8.2971,8.2364,8.3719,8.2486,119.4475,121.2333,0.1439,0.2249,98.7544,42.216,126.9273,6.3197,0.0029,6.501,6.1556,88.9621,0.0047,0.3561,5.0503,0.0581,8.0117,3.5412,5.125,0.2969,2.4126,NELCHINA
4599,8.1659,8.3787,8.268,8.3993,8.2945,119.0575,120.5622,0.1559,0.2216,98.7544,44.8023,126.8697,6.2968,-0.0036,4.6234,4.3619,88.9621,0.0048,0.3515,5.004,0.067,8.5888,3.537,4.6875,0.2969,2.3927,NELCHINA
4598.5,8.3094,8.4849,8.391,8.4115,8.4493,118.8844,118.3531,0.1562,0.2083,98.7544,44.5147,126.9722,6.2815,-0.0073,8.8102,7.922,88.9621,0.0048,0.3083,4.9719,0.0615,9.2424,3.5367,5.5,0.2969,2.3923,NELCHINA
4598,8.3482,8.4952,8.3671,8.4149,8.435,118.8373,118.5541,0.1495,0.2179,98.7544,43.3695,127.0454,6.2968,-0.0054,9.5534,9.1642,88.9621,0.0049,0.2858,4.8942,0.0505,12.2761,3.5403,4.1875,0.2969,2.4034,NELCHINA
4597.5,8.1766,8.2853,8.26,8.3993,8.3753,119.0572,119.3983,0.1377,0.2526,98.7544,44.4118,127.1016,6.3349,0.0049,7.3419,6.8068,88.9621,0.0049,0.3437,4.8416,0.0728,10.8852,3.5491,4.5,0.2969,2.4227,NELCHINA
