DEPT,AHT10,AHT20,AHT30,AHT60,AHT90,AHTCO60,AHTCO90,DPHZ,DSOZ,DT,GR,HAZI,HCAL,HDRA,HMIN,HMNO,HTEM,ITT,NPOR,PEFZ,RSOZ,RXOZ,SDEV,SP,SPHI,RHOZ,TOP
3067,17.2698,16.2941,15.9216,16.3,16.4349,61.3498,60.8461,0.092,0.009,84.9946,34.029,218.6636,6.6174,-0.0064,19.6277,17.4881,86.447,0.1558,0.2738,7.503,0.0047,25.6649,1.0903,-11.4375,0.2014,2.4983,MATANUSKA
3066.5,17.3632,16.6537,16.5202,17.4182,17.246,57.4113,57.9844,0.0872,0.02,84.1075,28.1097,218.8996,6.5945,-0.0109,19.1638,17.3438,86.447,0.1558,0.2954,8.1287,0.0203,25.8919,1.0897,-12.0625,0.1952,2.5062,MATANUSKA
3066,17.7035,17.4602,17.3316,18.7051,18.9767,53.4615,52.6963,0.0792,0.0357,82.4895,24.9242,219.4449,6.5029,-0.015,20.0406,18.7365,86.447,0.1559,0.2778,8.5305,0.0203,32.6379,1.0839,-12.0625,0.184,2.5193,MATANUSKA
3065.5,18.9773,19.7776,19.4517,20.8863,21.0912,47.8783,47.4131,0.0617,0.0509,77.806,28.7307,219.3261,6.2738,-0.0202,29.3201,27.1967,86.447,0.1559,0.2269,8.5521,0.0364,29.8255,1.0799,-10.5,0.1514,2.5483,MATANUSKA
3065,21.3515,22.4417,22.07,23.8422,24.6254,41.9425,40.6085,0.042,0.0583,72.5604,31.3379,219.5738,6.4456,-0.0162,15.3354,15.6194,86.447,0.1559,0.2055,8.2321,0.0374,41.9567,1.0738,-9,0.115,2.5807,MATANUSKA
3064.5,24.6739,24.9476,24.5692,26.8986,28.2699,37.1767,35.3733,0.0252,0.057,68.0965,32.3957,219.9639,6.5945,-0.0097,42.3119,41.5633,86.447,0.156,0.1942,7.8058,0.0297,45.9559,1.0716,-6.9375,0.084,2.6084,MATANUSKA
3064,32.0808,33.0792,34.2944,38.4379,42.7737,26.016,23.3788,0.0216,0.0469,66.6897,32.3152,219.8838,6.5029,-0.0047,91.1132,81.1522,86.447,0.156,0.1813,7.5606,0.0336,98.663,1.0608,-6.0625,0.0742,2.6143,MATANUSKA
3063.5,40.9965,43.3081,44.2694,48.4751,53.4978,20.6291,18.6924,0.0221,0.0425,67.6413,33.2542,219.7561,6.4342,-0.0021,19.684,22.2867,86.447,0.156,0.2199,7.4198,0.0388,45.6398,1.0541,-6.1875,0.0808,2.6136,MATANUSKA
3063,34.6963,35.2518,37.2207,42.121,49.3965,23.7411,20.2444,0.022,0.0409,68.0791,34.4735,219.8093,6.4113,-0.0007,24.1885,22.2024,86.447,0.1561,0.2448,7.1641,0.0265,47.3401,1.0569,-5.75,0.0839,2.6137,MATANUSKA
3062.5,30.7691,32.7521,33.2398,38.445,45.039,26.0112,22.203,0.024,0.0308,68.9295,33.1355,219.8517,6.3884,-0.0013,99.4091,88.3289,86.447,0.1561,0.1952,6.722,0,61.5081,1.046,-6,0.0898,2.6104,MATANUSKA
3062,32.8937,40.4814,39.9036,43.8406,49.7202,22.8099,20.1126,0.0334,0.0168,69.5639,33.0245,220.1547,6.3655,-0.0028,81.7048,72.5538,86.447,0.1561,0.1884,6.3202,0.0069,85.1532,1.0432,-5.875,0.0942,2.5949,MATANUSKA
3061.5,37.2678,40.7448,40.1629,41.0462,43.9482,24.3628,22.7541,0.0591,0.0313,73.1205,37.2428,220.0968,6.3655,-0.0078,27.1042,25.9815,86.447,0.1562,0.2498,6.1178,0.0307,30.7035,1.0367,-5.375,0.1189,2.5524,MATANUSKA
3061,19.8432,21.9178,22.2653,24.5187,27.5518,40.7851,36.2953,0.0883,0.0651,80.9407,42.5138,220.1928,6.4113,-0.0103,10.3266,9.5852,86.447,0.1562,0.341,6.0533,0.0277,16.0539,1.0321,-7,0.1732,2.5043,MATANUSKA
3060.5,12.5684,12.9692,13.0074,14.1788,15.9807,70.528,62.5755,0.1021,0.0973,88.1988,48.0624,220.1703,6.48,-0.0086,8.3284,7.474,86.447,0.1563,0.3738,5.9728,0.009,11.861,1.0209,-5,0.2236,2.4816,MATANUSKA
3060,9.2687,9.7647,9.6993,10.4909,11.6965,95.3203,85.496,0.1015,0.0771,96.3001,47.1561,219.6379,6.5602,-0.0052,8.9038,7.8645,86.447,0.1563,0.3605,5.8362,0,10.7119,1.0237,-4.8125,0.2799,2.4825,MATANUSKA
3059.5,8.6394,9.0269,8.9326,9.6084,10.7831,104.0755,92.7373,0.0916,0.0711,101.0223,46.8668,220.2296,6.6403,-0.0006,7.7061,6.8087,86.447,0.1564,0.3649,5.6842,0,9.6873,1.0152,-5.75,0.3127,2.4989,MATANUSKA
