depth (ft),longitude,latitude
2369.2,-108.58283,41.65831
2799.9,-108.56344,41.65833
2614.6,-108.57316,41.65831
1221.5,-108.64503,41.65845
6462.5,-108.24289,41.66232
1144.8,-108.63544,41.66568
4067.8,-108.45064,41.67084
1439.9,-108.62456,41.67197
2892.6,-108.55388,41.67281
1512.5,-108.61704,41.67372
1783.4,-108.62154,41.67593
2389.2,-108.57798,41.67645
5148.4,-108.38066,41.67983
3547.3,-108.51034,41.68001
5398.7,-108.34678,41.68685
5715.8,-108.31292,41.69087
2613.7,-108.58287,41.69456
4087.3,-108.45108,41.69971
3415.7,-108.50797,41.69988
3846.9,-108.47,41.69985
2996.2,-108.54904,41.70179
1650.5,-108.62093,41.70272
1197,-108.64511,41.71257
2595.6,-108.58413,41.71535
2800.6,-108.57725,41.72082
4119.5,-108.4506,41.72168
1693,-108.62543,41.72716
2433.5,-108.59484,41.72887
4178.5,-108.45066,41.73615
4406.6,-108.43391,41.73783
6477.8,-108.27365,41.75995
3994.6,-108.49605,41.76807
4301.4,-108.47793,41.77618
2677.8,-108.66285,41.799
5907.7,-108.36799,41.80922
7332.5,-108.27114,41.84812
4628,-108.53324,41.8568
3577,-108.62988,41.86052
2292.9,-108.7403,41.87524
8039.7,-108.52684,41.38472
2024.9,-108.79819,41.88983
,-107.85096,41.9128
,-107.99057,41.91622
,-107.7961,41.95948
4402.9,-108.72597,41.9766
,-108.45015,41.98703
4486.1,-108.78385,42.00171
,-107.54,42.05358
,-107.93233,42.119
,-108.16096,42.20654
6692.8,-107.65224,42.22368
6009.1,-107.94657,42.22796
6351,-107.87373,42.23108
,-108.21431,42.254
5268.4,-108.57831,41.13411
736.5,-108.65982,41.55692
,-107.75738,42.01399
,-107.93316,41.94529
3997.6,-108.51544,41.80431
,-107.90909,41.98509
,-108.30211,41.00562
8478,-107.88838,42.21298
,-108.44235,42.2326
3662.1,-108.5007,41.61829
8881.7,-108.18738,41.03547
,-108.10432,42.14693
2388.7,-108.60207,41.68009
6629.7,-108.44032,41.92546
6693.5,-108.68212,42.06332
,-107.94857,41.01651
,-108.24951,41.03486
3300.6,-108.52007,41.64047
4546.5,-108.47684,41.79004
7467.8,-108.59042,42.04516
1861.5,-108.61192,41.72768
4859.6,-108.42832,41.77508
3758.4,-108.51042,41.5822
2775.2,-108.57323,41.70878
,-107.93806,42.05381
,-107.81084,42.0321
,-107.92754,42.1009
4656.7,-108.40483,41.70158
4519,-108.47676,41.81872
2851.3,-108.58548,41.75553
3299.4,-108.571,41.78086
,-108.04949,42.01859
7061.5,-108.70656,42.0814
3053.8,-108.5345,41.69448
6196.1,-108.66038,41.30853
6347.5,-108.25517,41.69672
6332.3,-108.31959,41.80545
5964,-108.37769,41.84913
6994.2,-108.19409,41.76146
5087,-108.52281,41.893
3344.9,-108.53942,41.7199
3479.3,-108.68341,41.40491
2640,-108.57867,41.70228
3806.6,-108.50328,41.74818
4585.4,-108.62576,41.43374
5420.9,-108.62572,41.40838
7648.7,-108.37778,41.94713
9390,-107.85584,41.84051
7774.3,-108.20167,41.01671
7892.4,-108.34897,41.95455
5782.3,-108.65555,41.3811
