,APINO,Surface hole latitude (NAD83),Surface hole longitude (NAD83),Bottom hole latitude (NAD83),Bottom hole longitude (NAD83),Total vertical depth at bottom hole (ft),Number of frac stages,Total slurry (bbl),Total proppant (lb),Surface-to-bottom hole length (ft),Producing interval length (ft),Lateral azimuth (°),First 18 months oil (bbl),IP oil API gravity (°),Average gas-oil ratio (ft3/bbl),Calculated top of reservoir temperature (°F),API number,Company,Well type,WSGS reservoir
185,562214,43.722,-105.71355,43.73532,-105.70758,10810.5,13.0,85183.4538927739,1960308.0,5103.633762,4403.0,24.141837,137279.0,36.5,596.02649,187.524662,183,9,1,1
186,562242,43.6932,-105.6029,43.70578,-105.59611,10379.0,13.0,85183.4538927739,1982817.0,4922.918311,3972.0,28.357761,62646.0,39.8,792.982456,200.627977,184,9,1,1
187,562252,43.70817,-105.6967,43.69382,-105.70366,10890.0,13.0,85183.4538927739,2009898.0,5543.280387,4464.0,205.874193,98616.0,39.9,461.92053,223.834527,185,9,1,1
188,562261,43.66362,-105.55937,43.6507,-105.56187,10301.7,13.0,30818.0,1972873.0,4754.048349,3977.0,190.951305,52527.0,41.3,1078.313253,207.964823,186,9,1,1
189,562268,43.67755,-105.5692,43.68904,-105.56717,10202.45,13.0,30439.0,1966059.0,4221.046673,2902.0,10.019358,34789.0,39.0,718.309859,219.58014,187,9,1,1
190,562270,43.69426,-105.64319,43.70604,-105.64223,10531.3,13.0,30904.0,1993271.0,4299.984021,3436.0,4.65897,101290.0,38.7,830.472103,216.20302862173915,188,9,1,1
191,562271,43.7374,-105.65432,43.75004,-105.64695,10315.35,13.0,85183.4538927739,1945417.0,5000.504661,4088.0,30.245162,83228.0,38.0,354.098361,216.20302862173915,189,9,1,1
192,562272,43.70745,-105.65379,43.72043,-105.64702,10429.34,13.0,85183.4538927739,1977232.0,5056.927828,4297.0,27.545268,101545.0,39.0,561.076605,216.20302862173915,190,9,1,1
193,562276,43.73749,-105.64372,43.74998,-105.63679,10395.5,13.0,31056.0,1989540.0,4905.646099,4015.0,29.023435,85643.0,39.5,648.183556,216.20302862173915,191,9,1,1
194,562303,43.63426,-105.7813,43.6472,-105.7821,11604.0,14.0,55092.0,3935874.0,4719.953719,3974.0,356.46226,206862.0,42.9,1390.883547,109.915079,192,19,1,0
195,562307,43.6791,-105.79856,43.691,-105.7974,11564.87,28.0,66902.0,4004280.0,4347.116644,3906.0,5.567545,59428.0,42.65357142857142,769.308943,216.20302862173915,193,19,1,0
196,562315,43.64768,-105.58299,43.64726,-105.60226,10582.49,13.0,85183.4538927739,1980624.0,5101.095323,4073.0,268.751405,99616.0,43.2,1434.547908,234.802881,194,9,1,1
197,562327,43.63425,-105.75955,43.64717,-105.7584,11489.09,14.0,59266.0,4007065.0,4717.728305,3921.0,5.086452,89381.0,41.9,1025.210084,226.968198,195,19,1,0
198,562329,43.57743,-105.55485,43.59028,-105.55629,10519.07,21.0,45523.0,3401761.0,4697.75831,3634.0,353.605982,122670.0,48.7,4478.905359,216.20302862173915,196,5,1,1
199,562342,43.73585,-105.72517,43.74974,-105.71623,10653.7,13.0,85183.4538927739,2023024.0,5585.346727,4365.0,32.766488,121674.0,39.8,450.60241,222.949012,197,9,1,1
200,562346,43.60724,-105.51835,43.61926,-105.51475,10226.44,17.0,40594.0,3388467.0,4482.323495,3281.0,16.673002,83521.0,43.7,2148.054146,216.20302862173915,198,5,1,1
201,562347,43.60473,-105.56574,43.59246,-105.56806,10611.76,32.0,44858.0,3383363.0,4512.939014,3440.0,190.707031,141222.0,46.8,2173.913043,216.20302862173915,199,5,1,1
202,562352,43.61801,-105.75274,43.60637,-105.74814,11575.69,19.0,92271.0,3803100.0,4412.846716,4261.0,158.436613,97124.64019851117,45.8,2039.270687,216.20302862173915,200,2,1,0
203,562362,43.70797,-105.7043,43.7206,-105.69539,10725.9,13.0,85183.4538927739,1326402.0,5169.785962,4092.0,35.20156,133129.0,39.8,560.39604,222.496274,201,9,1,1
204,562364,43.60595,-105.50083,43.5932,-105.50109,10308.8,22.0,126361.0,13203900.0,4646.312169,4315.0,181.168223,64470.0,47.2,4205.714286,216.20302862173915,202,8,1,1
205,562367,43.70717,-105.72476,43.72045,-105.71779,10855.9,17.0,89256.0,6381520.0,5177.929597,4180.0,27.692708,97124.64019851117,40.1,391.566265,216.20302862173915,203,9,1,1
206,562369,43.69363,-105.65623,43.67953,-105.66299,10715.97,13.0,85183.4538927739,2021161.0,5439.937481,4323.0,205.614579,112738.0,40.6,709.935897,231.08457,204,9,1,1
207,562372,43.66627,-105.48555,43.6777,-105.48836,9850.12,15.0,39714.0,3062500.0,4230.665338,3797.0,346.188074,15608.0,51.2,13933.110368,216.20302862173915,205,7,1,1
208,562374,43.69287,-105.68422,43.70608,-105.67634,10641.4,13.0,85183.4538927739,1986973.0,5245.044133,4353.0,30.816828,109566.0,38.9,523.076923,193.904358,206,9,1,1
209,562376,43.67762,-105.70654,43.66456,-105.71524,11135.79,8.0,23916.0,1244500.0,5286.062558,4489.0,213.669815,58245.0,41.7,668.316832,228.313394,207,9,1,1
210,562377,43.75109,-105.61608,43.73792,-105.62301,10403.58,13.0,85183.4538927739,1984336.0,5136.344287,4398.0,207.753161,57427.0,38.3,622.807018,217.54225,208,9,1,1
211,562378,43.70771,-105.67336,43.72083,-105.6674,10515.31,13.0,85183.4538927739,1954640.0,5033.631517,4142.0,24.430792,135590.0,40.3,561.243144,200.120154,209,9,1,1
212,562430,43.63499,-105.45163,43.62299,-105.45089,9765.21,14.0,56347.0,3971217.0,4376.909905,3804.0,176.471229,37579.0,42.65357142857142,24365.079365,223.98818,210,19,1,1
213,562448,43.82549,-105.37469,43.83839,-105.37393,8659.52,21.0,75751.0,6285700.0,4704.881231,4023.0,3.371668,124850.0,37.0,1319.444444,181.336768,211,15,1,1
214,562449,43.6422,-105.64673,43.65748,-105.6491,11012.27,17.0,40823.0,3391307.0,5603.000122,3640.0,351.183408,81307.0,41.9,696.551724,193.288548,212,5,1,1
215,562453,43.73566,-105.7171,43.72298,-105.7229,10799.08,13.0,64433.0,4055340.0,4868.046976,3870.0,204.579984,136292.0,38.0,546.348315,220.32457,213,9,1,1
216,562460,43.6332,-105.80436,43.64725,-105.80277,11747.05,20.0,84696.0,6040010.0,5136.951642,3976.0,6.456537,165430.0,42.65357142857142,1315.789474,216.20302862173915,214,19,1,0
217,562463,43.62969,-105.62393,43.63242,-105.60644,10697.05,17.0,42784.0,3389029.0,4734.763503,3675.0,81.128335,178325.0,43.3,1333.685322,234.832683,215,5,1,1
218,562471,43.61983,-105.77457,43.63275,-105.77325,11614.59,26.0,116291.0,6028681.0,4720.846837,3836.0,5.833508,97124.64019851117,42.65357142857142,2121.666667,216.20302862173915,216,19,1,0
219,562482,43.63325,-105.80432,43.62069,-105.80307,11846.43,20.0,82911.0,6031800.0,4588.681333,3806.0,174.316508,85864.0,42.65357142857142,1563.459984,216.20302862173915,217,19,1,0
220,562494,43.82549,-105.39102,43.85282,-105.38747,8686.78,31.0,107117.0,9854731.0,10002.670986,8989.0,7.400933,82703.0,36.2,664.69428,185.945215,218,20,1,1
221,562501,43.63617,-105.82494,43.64728,-105.8235,11790.42,14.0,56813.0,3939907.0,4066.288013,3367.0,7.385104,418332.0,42.65357142857142,1776.442308,216.20302862173915,219,19,1,0
222,562525,43.63505,-105.60538,43.64775,-105.60822,10627.0,17.0,43614.0,3439834.0,4688.288121,3647.0,347.394785,156612.0,43.4,483.870968,216.20302862173915,220,5,1,1
