,latitude,longitude,elevation,heart,time,slope,distance
51,44.41826,-111.370165,1918.8,163,2018-09-29 14:03:31+00:00,-0.09999999999990905,7.877182236828788e-05
52,44.418222,-111.370096,1918.7,163,2018-09-29 14:03:32+00:00,0.0,9.208691546969187e-05
53,44.41817,-111.37002,1918.7,163,2018-09-29 14:03:33+00:00,0.0,5.5217750771765533e-05
54,44.418138,-111.369975,1918.7,163,2018-09-29 14:03:34+00:00,0.0,4.244997054984942e-05
55,44.418127,-111.369934,1918.7,163,2018-09-29 14:03:35+00:00,0.0,3.769615364712902e-05
56,44.418113,-111.369899,1918.7,162,2018-09-29 14:03:36+00:00,0.0,4.070626487919596e-05
57,44.418094,-111.369863,1918.7,162,2018-09-29 14:03:37+00:00,0.0,6.0083275542048055e-05
58,44.418075,-111.369806,1918.7,161,2018-09-29 14:03:39+00:00,0.0,6.016643582238847e-05
59,44.418059,-111.369748,1918.7,160,2018-09-29 14:03:40+00:00,0.09999999999990905,4.49110231480342e-05
60,44.41805,-111.369704,1918.8,160,2018-09-29 14:03:41+00:00,0.0,5.069516742728469e-05
61,44.418037,-111.369655,1918.8,160,2018-09-29 14:03:42+00:00,0.0,4.90407993362388e-05
62,44.418023,-111.369608,1918.8,160,2018-09-29 14:03:43+00:00,0.10000000000013642,5.4817880288990777e-05
63,44.418009,-111.369555,1918.9,160,2018-09-29 14:03:44+00:00,0.09999999999990905,8.792041856402544e-05
64,44.41798,-111.369472,1919.0,160,2018-09-29 14:03:45+00:00,0.09999999999990905,6.989277502330203e-05
65,44.417957,-111.369406,1919.1,160,2018-09-29 14:03:46+00:00,0.0,6.706713054543429e-05
66,44.417934,-111.369343,1919.1,160,2018-09-29 14:03:47+00:00,0.0,8.193900169904576e-05
67,44.417901,-111.369268,1919.1,160,2018-09-29 14:03:48+00:00,-0.09999999999990905,7.589466384790871e-05
68,44.417877,-111.369196,1919.0,160,2018-09-29 14:03:49+00:00,0.0,0.00010568822073003136
69,44.41784,-111.369097,1919.0,160,2018-09-29 14:03:50+00:00,0.0,9.992497184976576e-05
70,44.417801,-111.369005,1919.0,160,2018-09-29 14:03:51+00:00,0.0,9.600520819242166e-05
71,44.417765,-111.368916,1919.0,160,2018-09-29 14:03:52+00:00,0.0,9.693296652910558e-05
72,44.417729,-111.368826,1919.0,160,2018-09-29 14:03:53+00:00,0.0,9.363759929216784e-05
73,44.417697,-111.368738,1919.0,160,2018-09-29 14:03:54+00:00,0.0,0.0001025524256066015
74,44.417656,-111.368644,1919.0,160,2018-09-29 14:03:55+00:00,-0.09999999999990905,9.265527508344482e-05
75,44.417627,-111.368556,1918.9,160,2018-09-29 14:03:56+00:00,-0.20000000000004547,9.211405972730967e-05
76,44.417594,-111.36847,1918.7,160,2018-09-29 14:03:57+00:00,-0.20000000000004547,8.22800097263882e-05
77,44.417565,-111.368393,1918.5,160,2018-09-29 14:03:58+00:00,-0.2999999999999545,8.895504483099981e-05
78,44.417533,-111.36831,1918.2,160,2018-09-29 14:03:59+00:00,-0.20000000000004547,8.672946442296107e-05
79,44.417502,-111.368229,1918.0,160,2018-09-29 14:04:00+00:00,-0.2999999999999545,7.971198152774643e-05
80,44.417475,-111.368154,1917.7,160,2018-09-29 14:04:01+00:00,-0.20000000000004547,8.570297545256368e-05
81,44.417447,-111.368073,1917.5,160,2018-09-29 14:04:02+00:00,-0.20000000000004547,7.621679603880741e-05
82,44.417422,-111.368001,1917.3,160,2018-09-29 14:04:03+00:00,-0.09999999999990905,7.273238619347738e-05
83,44.417399,-111.367932,1917.2,160,2018-09-29 14:04:04+00:00,-0.10000000000013642,8.185963596285306e-05
84,44.417364,-111.367858,1917.1,160,2018-09-29 14:04:05+00:00,0.0,8.633075929376444e-05
85,44.417327,-111.36778,1917.1,160,2018-09-29 14:04:06+00:00,0.0,7.879086241600326e-05
86,44.417295,-111.367708,1917.1,160,2018-09-29 14:04:07+00:00,0.0,9.70051544947043e-05
87,44.417236,-111.367631,1917.1,160,2018-09-29 14:04:08+00:00,0.0,6.161980201222541e-05
88,44.417195,-111.367585,1917.1,158,2018-09-29 14:04:09+00:00,0.0,6.661080993879412e-05
89,44.417156,-111.367531,1917.1,158,2018-09-29 14:04:10+00:00,0.0,6.26817357723155e-05
90,44.417121,-111.367479,1917.1,158,2018-09-29 14:04:11+00:00,0.0,5.531726675052609e-05
91,44.417085,-111.367437,1917.1,158,2018-09-29 14:04:12+00:00,0.0,5.889821729284532e-05
92,44.417047,-111.367392,1917.1,158,2018-09-29 14:04:13+00:00,0.0,6.79411510001844e-05
93,44.416997,-111.367346,1917.1,158,2018-09-29 14:04:14+00:00,0.0,7.920858539420875e-05
