station,latitude,longitude,elevation,observed,theoretical,terrain,bouger,curv,special,freeair,complete_bouger
nd5,41.43966667,-108.8076667,6926,979667,980297.72,0.19,-236.2,-1.52,10,21.18,-216.37
nd6,41.41083333,-108.7883333,6977,979658,980295.13,0.16,-237.9,-1.52,11,18.88,-220.44
nd7,41.36916667,-108.7636667,7089,979643,980291.4,0.22,-241.7,-1.51,12,18.53,-224.55
nd8,41.351,-108.7478333,7252,979635,980289.77,0.43,-247.3,-1.51,13,27.79,-220.63
nd9,41.31683333,-108.7471667,7059,979638,980286.7,1.22,-240.7,-1.51,14,14.9,-226.15
ndlO,41.29833333,-108.7911667,7049,979637,980285.03,0.38,-240.4,-1.51,15,15.42,-226.14
ndll,41.27533333,-108.8045,6952,979641,980282.97,0.26,-237.1,-1.52,16,12.18,-226.19
ndl 2,41.25866667,-108.834,6900,979643,980281.48,0.19,-235.3,-1.52,17,11.07,-225.59
ndlJ,41.19383333,-108.834,7045,979628,980275.66,0.64,-240.2,-1.51,18,14.66,-226.5
nd!4,41.14183333,-108.8165,7339,979602,980271,0.41,-250.3,-1.51,19,21.18,-230.23
nd!5,41.13016667,-108.7411667,7371,979595,980269.96,0.35,-251.4,-1.51,20,18.35,-234.21
nd!6,41.1335,-108.7085,7255,979602,980270.26,0.29,-247.4,-1.51,21,13.92,-234.75
nd!7,41.15066667,-108.6686667,7328,979597,980271.8,0.34,-249.9,-1.51,22,14.64,-236.46
nd!8,41.155,-108.6271667,7165,979605,980272.18,0.26,-244.3,-1.51,23,7.34,-238.29
nd!9,41.17366667,-108.6001667,7170,979603,980273.86,0.76,-244.5,-1.51,24,3.8,-241.5
nd20,41.18916667,-108.5773333,7896,979552,980275.25,2.59,-269.3,-1.48,25,19.43,-248.77
nd21,41.203,-108.5505,7175,979596,980276.48,0.39,-244.7,-1.51,26,-5.16,-251
nd22,41.22233333,-108.5263333,7056,979604,980278.22,0.26,-240.6,-1.51,27,-10.76,-252.67
nd23,41.259,-108.4888333,7051,979606,980281.51,0.16,-240.4,-1.51,28,-12.1,-253.94
nd24,41.2205,-108.4321667,6955,979606,980278.05,0.17,-237.2,-1.52,29,-17.55,-256.11
nd25,41.19,-108.426,6942,979604,980275.32,0.16,-236.7,-1.52,30,-17.96,-256.08
nd26,41.16716667,-108.4005,7050,979595,980273.27,0.76,-240.4,-1.51,31,-14.78,-255.99
nd27,41.14433333,-108.387,6901,979604,980271.23,0.04,-235.3,-1.52,32,-18.25,-255.1
nd28,41.09133333,-108.3615,6892,979601,980266.48,0.23,-235,-1.52,33,-16.75,-253.11
nd29,41.057,-108.3491667,7041,979591,980263.4,0.22,-240.1,-1.52,34,-9.56,-251
nd30,41.05083333,-108.3173333,7021,979593,980262.84,0.15,-239.4,-1.52,35,-9.18,-250.01
nd31,41.031,-108.2961667,6965,979597,980261.07,0.18,-237.5,-1.52,36,-9.28,-248.17
nd32,41.00816667,-108.2951667,6641,979619,980259.03,0.22,-226.5,-1.52,37,-15.04,-242.84
nd33,40.97433333,-108.3036667,6997,979624,980255.99,0.02,-225,-1.52,38,-11.26,-237.76
nd34,40.95366667,-108.3141667,6692,979621,980254.15,0.1,-228.2,-1.52,39,-3.86,-233.53
nd35,40.9615,-108.35,6687,979618.64,980254.84,0.69,-228,-1.52,0,-7.55,-236.45
nd36,40.9625,-108.4,7138,979590.83,980254.94,0.38,-243.4,-1.51,0,6.92,-237.67
nd37,40.97316667,-108.45,6880,979609.6,980255.89,0.1,-234.6,-1.52,0,0.5,-235.58
nd38,40.988,-108.55,6659,979626.12,980257.22,1.85,-227.1,-1.52,0,-5.08,-231.87
nd39,41.011,-108.55,7079,979601.06,980259.28,0.29,-241.4,-1.51,0,7.26,-235.4
nd40,40.99,-108.6166667,7198,979597.32,980257.4,0.55,-245.5,-0.51,0,16.59,-229.88
nd41,41.005,-108.65,6593,979636.88,980258.74,0.94,-224.8,-0.52,0,-2.04,-227.49
nd42,41.00883333,-108.7333333,7049,979611.69,980259.09,0.28,-240.4,-0.51,0,15.27,-226.39
nd43,41.036,-108.7833333,7141,979609.38,980261.52,0.41,-243.5,-0.51,0,19.17,-225.49
nd44,41.07783333,-108.7833333,7186,979606.87,980265.27,0.31,-245,-0.51,0,17.14,-229.16
nd45,41.1185,-108.8,7402,979595.43,980268.91,0.46,-252.4,-0.51,0,22.34,-231.16
